target_time,prediction,actual,best_alpha,best_l1_ratio,coefs
2018-09-14 09:15:00,2563.660013125276,2458.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 09:30:00,2731.8019396101345,2619.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 09:45:00,2878.547266647102,2829.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 10:00:00,3049.6281396324666,3015.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 10:15:00,3239.3068695394218,3237.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 10:30:00,3399.9085688622476,3349.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 10:45:00,3484.9511393691446,3434.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 11:00:00,3672.456983535101,3433.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 11:15:00,3733.39644600664,3344.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 11:30:00,3936.741989969778,3354.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 11:45:00,3937.9094496647335,3387.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 12:00:00,4148.002448275157,3425.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 12:15:00,4029.0699217062534,3257.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 12:30:00,4014.564801737174,3132.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 12:45:00,3815.4024462268926,3251.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 13:00:00,3446.001549463813,3095.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 13:15:00,3702.0237097923405,3127.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 13:30:00,3377.5265385263774,3047.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 13:45:00,3539.682561080135,2938.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 14:00:00,3404.461603224976,2877.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 14:15:00,3306.4647355462475,2702.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 14:30:00,3304.668050659995,2620.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 14:45:00,2888.073452450869,2588.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 15:00:00,2666.59458133561,2414.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 15:15:00,2461.817870964036,2127.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 15:30:00,2136.242948025466,1989.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 15:45:00,2016.5782192966444,1863.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 16:00:00,1735.6669419357038,1657.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 16:15:00,1464.1450482912858,1455.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 16:30:00,1209.89676857629,1208.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 16:45:00,971.5372537732795,1028.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 17:00:00,722.0359493191497,757.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 17:15:00,502.7233250365931,516.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 17:30:00,322.33386863051425,322.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 17:45:00,183.30811229249167,175.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 18:00:00,98.68853466766778,67.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 18:15:00,37.683298132504206,13.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 18:30:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 18:45:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 19:00:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 19:15:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 19:30:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 19:45:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 20:00:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 20:15:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 20:30:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 20:45:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 21:00:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 21:15:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 21:30:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 21:45:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 22:00:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 22:15:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 22:30:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 22:45:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 23:00:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 23:15:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 23:30:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 23:45:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-15 00:00:00,0.0,0.0,0.001,1.0,[ 0.29551408 -0.05456171 -0.13990712  0.15569474  0.40389791  0.34053341]
2018-09-15 00:15:00,0.0,0.0,0.001,1.0,[ 0.29551408 -0.05456171 -0.13990712  0.15569474  0.40389791  0.34053341]
2018-09-15 00:30:00,0.0,0.0,0.001,1.0,[ 0.29551408 -0.05456171 -0.13990712  0.15569474  0.40389791  0.34053341]
2018-09-15 00:45:00,0.0,0.0,0.001,1.0,[ 0.29551408 -0.05456171 -0.13990712  0.15569474  0.40389791  0.34053341]
2018-09-15 01:00:00,0.0,0.0,0.001,1.0,[ 0.29551408 -0.05456171 -0.13990712  0.15569474  0.40389791  0.34053341]
2018-09-15 01:15:00,0.0,0.0,0.001,1.0,[ 0.29551408 -0.05456171 -0.13990712  0.15569474  0.40389791  0.34053341]
