0,1,2,3,4,5,6,7
1615.618686505663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598.3406568195103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1586.3383120793328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1593.235840596443,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1597.2036479475203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1601.0241168955556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1602.133258799648,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1599.9912553315858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1586.3449465249926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580.6624370192894,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1586.1462773234716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1585.9682671840546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1571.3033522289936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1562.015709643442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1543.7228706066867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1524.2269897448361,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1513.4306019121366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517.226546145343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1523.5087387942658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546.7104709374332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1563.9363898220972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1566.5792922302087,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1565.6067953987765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1564.9953251833138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1563.1476065521351,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1549.1702301262796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1549.202232661134,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1547.5211806966222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
