datetime,HR,A1,A2,A3,A4,A5,A6,A7
2017-10-22 19:00:00,74.21,71.32769,73.46507,72.893005,73.6606,74.77421,70.847595,73.4114
2017-10-22 20:00:00,69.78,71.278336,72.106094,71.27399,72.546814,73.63321,70.123886,72.24013
2017-10-22 21:00:00,67.76,65.281265,66.23736,66.13894,66.74012,68.28526,66.520744,68.35416
2017-10-22 22:00:00,60.22,63.196033,63.29266,63.211502,65.42565,65.10781,64.6171,65.73404
2017-10-22 23:00:00,55.77,58.524914,56.264313,57.28619,57.949448,57.89171,56.72116,57.28212
2017-10-23 00:00:00,55.35999999999999,54.63545,52.801315,53.86792,52.18917,52.523914,53.90165,53.027195
2017-10-23 01:00:00,55.129999999999995,55.044872,53.26002,53.40089,50.656605,53.535225,51.528027,52.9068
2017-10-23 02:00:00,55.23,55.28516,54.367928,52.860405,54.669147,53.579376,51.98476,53.72014
2017-10-23 03:00:00,55.95,56.71504,56.5649,55.639732,58.838985,56.179005,52.32366,57.74043
2017-10-23 04:00:00,61.77,60.187515,59.99421,57.810356,60.658527,59.193134,58.2963,59.07985
2017-10-23 05:00:00,69.94,66.09434,66.86037,66.000984,66.52025,65.47905,66.70329,66.84862
2017-10-23 06:00:00,73.87,71.92543,75.718796,73.74422,76.18304,73.14296,74.063034,73.69888
2017-10-23 07:00:00,75.12,74.23637,76.4588,74.84121,76.012695,73.50992,76.21288,74.61836
2017-10-23 08:00:00,73.8,75.04044,74.52408,74.51205,73.315956,74.95534,72.57626,74.31695
2017-10-23 09:00:00,74.49,73.6082,73.68499,72.899635,73.88557,73.88343,72.4281,72.049706
2017-10-23 10:00:00,72.93,73.459915,73.93928,73.192444,73.28744,73.607666,73.28569,73.05399
2017-10-23 11:00:00,73.57,71.63013,74.0659,72.385864,71.20573,74.78797,73.16343,72.60427
2017-10-23 12:00:00,70.04,71.308464,73.70112,72.17432,72.05306,74.30874,72.25372,72.71382
2017-10-23 13:00:00,67.16,68.060036,70.66181,68.78112,68.40467,71.10722,70.01939,68.58723
2017-10-23 14:00:00,66.33,66.187744,69.858795,68.21773,67.27287,69.57973,68.65742,67.82623
2017-10-23 15:00:00,67.86,67.44802,69.56503,67.80317,67.961784,69.30091,67.74712,67.95913
2017-10-23 16:00:00,110.35,70.06536,72.114784,71.35984,71.5557,72.73086,70.46591,69.94498
2017-10-23 17:00:00,116.8,93.42431,98.095795,106.81125,104.65418,105.404015,107.64398,107.737854
2017-10-23 18:00:00,105.1,94.110466,103.87207,106.03987,111.328995,105.733955,108.20485,105.803085
2017-10-23 19:00:00,105.48,93.16849,97.825195,95.82803,99.67865,98.18668,98.17722,96.13282
2017-10-23 20:00:00,73.48,92.24966,95.179504,95.22974,95.589745,98.796844,95.70648,95.6434
2017-10-23 21:00:00,67.92,68.96892,72.15777,66.16064,72.790565,70.75532,69.96835,70.447685
2017-10-23 22:00:00,63.629999999999995,62.88108,67.60908,69.62903,62.4326,70.9452,66.381645,66.83425
2017-10-23 23:00:00,56.18,59.954197,63.575283,60.734936,60.815285,64.13722,62.66362,61.71764
2017-10-24 00:00:00,54.05,54.934967,56.2446,55.219948,56.183483,56.51898,53.666393,54.814304
2017-10-24 01:00:00,53.9,53.591694,55.0731,54.676674,52.958035,55.882504,54.392204,53.40252
2017-10-24 02:00:00,53.89000000000001,54.410114,56.21302,54.805218,57.407734,56.764805,52.55101,55.000328
2017-10-24 03:00:00,53.82,56.319195,58.142082,56.09129,57.356583,57.13574,54.471912,56.259193
2017-10-24 04:00:00,57.03,57.12906,60.821014,59.861618,59.92697,59.280174,60.257313,59.407776
2017-10-24 05:00:00,71.72,63.610718,65.39514,64.18116,63.10698,65.23079,65.084145,63.564964
2017-10-24 06:00:00,74.13,73.33444,76.91671,75.8462,73.07911,75.25432,79.055954,75.109215
2017-10-24 07:00:00,74.45,73.85114,76.6761,74.52,72.831764,74.67823,75.96566,74.25657
2017-10-24 08:00:00,72.91,74.41162,74.36321,72.08003,71.035736,72.42989,73.14499,73.554924
2017-10-24 09:00:00,73.79,72.943565,73.03535,71.59785,71.14275,72.07953,69.947975,71.64181
2017-10-24 10:00:00,71.0,73.004,73.08759,71.35351,71.75626,72.755135,69.79714,72.78434
2017-10-24 11:00:00,72.06,70.12044,72.28559,70.230415,69.41417,71.8179,68.15485,71.11485
2017-10-24 12:00:00,70.72,70.43001,72.13784,69.805824,70.4234,73.21365,70.37221,71.86171
2017-10-24 13:00:00,69.09,68.58357,70.0407,68.21216,66.94421,70.06202,69.35351,69.68238
2017-10-24 14:00:00,67.31,67.8275,70.018715,65.51745,65.90367,68.36613,65.02849,69.73244
2017-10-24 15:00:00,68.72,70.488174,72.465126,69.86138,69.76248,70.27693,69.114655,68.68698
2017-10-24 16:00:00,76.69,74.73079,78.50836,82.40674,75.10482,77.73979,77.47952,70.73498
2017-10-24 17:00:00,79.72,81.68639,85.29268,88.68475,83.07626,86.15612,83.50909,77.282684
2017-10-24 18:00:00,78.71,83.01694,85.153496,87.04172,84.09466,85.6044,82.69575,77.1386
2017-10-24 19:00:00,77.91,77.11323,81.20486,80.2847,78.859344,81.93297,78.592995,75.27632
2017-10-24 20:00:00,71.79,74.53438,75.52245,73.51406,73.09148,76.18251,73.392166,73.31308
2017-10-24 21:00:00,66.36,66.41055,69.34049,67.41973,67.11249,69.39591,68.591675,68.319565
2017-10-24 22:00:00,66.79,61.459705,65.4873,64.01687,66.18079,65.69723,63.834957,65.47082
2017-10-24 23:00:00,60.120000000000005,62.72948,64.9234,63.189285,65.35048,64.39229,61.823605,64.40813
2017-10-25 00:00:00,56.209999999999994,58.137173,58.58831,57.6518,57.471462,57.45376,55.56021,58.819214
2017-10-25 01:00:00,54.73,55.08688,56.527084,55.490883,55.70475,57.246647,52.45542,56.460884
2017-10-25 02:00:00,54.620000000000005,54.293667,55.56861,54.194733,55.12128,54.06343,52.305714,55.12004
2017-10-25 03:00:00,55.709999999999994,55.68722,56.550392,54.398846,54.26373,55.311497,54.528957,56.109283
2017-10-25 04:00:00,61.34,59.984474,60.009888,58.83092,59.64955,59.72203,58.986935,59.921463
2017-10-25 05:00:00,72.19,67.939,66.78277,65.79065,64.03636,65.75126,67.04049,66.04907
2017-10-25 06:00:00,74.64,74.15387,76.691605,74.26402,74.470276,74.30401,74.90985,74.614365
2017-10-25 07:00:00,74.96,73.925095,76.984184,72.82799,75.42194,72.64662,74.92652,74.10763
2017-10-25 08:00:00,74.02,74.28247,75.15198,73.19827,72.042435,72.903694,74.785065,73.72503
2017-10-25 09:00:00,73.99,72.68203,74.21484,72.261925,72.74283,72.270424,73.60503,72.12686
2017-10-25 10:00:00,70.37,72.56484,73.569016,72.615715,72.489784,73.54495,71.81762,72.451996
2017-10-25 11:00:00,71.08,69.69898,72.39207,69.95547,70.7187,72.04482,68.80865,70.84013
2017-10-25 12:00:00,70.68,70.30281,72.72698,70.10709,68.78421,72.10428,69.17912,70.86583
2017-10-25 13:00:00,70.27,68.954124,71.62023,69.2016,67.93593,70.63576,67.82524,70.180786
2017-10-25 14:00:00,70.03,68.54235,70.837906,67.58543,67.62552,70.12251,67.42106,69.99525
2017-10-25 15:00:00,68.93,71.53317,71.70173,70.145096,70.2167,71.52575,68.741455,70.50794
2017-10-25 16:00:00,73.63,71.26152,72.5379,71.06712,71.44507,72.54644,70.84894,69.45243
2017-10-25 17:00:00,75.01,75.33153,76.495346,75.44913,76.88197,78.23824,76.22654,73.75696
2017-10-25 18:00:00,75.6,75.43542,75.84387,73.833405,76.01304,76.5879,74.78377,73.1047
2017-10-25 19:00:00,73.72,73.64473,75.18678,72.798325,72.62207,75.63695,73.75796,72.23896
2017-10-25 20:00:00,68.98,71.05705,72.317085,69.22098,69.00644,72.871086,69.27668,69.13975
