"Datum;""Von"";""bis"";""MW"";""Onshore MW"";""Offshore MW"";",
01.01.2015;00:00;00:15;2996,22;0;0;
01.01.2015;00:15;00:30;3008,79;0;0;
01.01.2015;00:30;00:45;3021,47;0;0;
01.01.2015;00:45;01:00;3034,37;0;0;
01.01.2015;01:00;01:15;3049,69;0;0;
01.01.2015;01:15;01:30;3066,1;0;0;
01.01.2015;01:30;01:45;3083,01;0;0;
01.01.2015;01:45;02:00;3099,71;0;0;
01.01.2015;02:00;02:15;3115,51;0;0;
01.01.2015;02:15;02:30;3129,02;0;0;
01.01.2015;02:30;02:45;3142,36;0;0;
01.01.2015;02:45;03:00;3156;0;0;,
01.01.2015;03:00;03:15;3160,63;0;0;
01.01.2015;03:15;03:30;3159,35;0;0;
01.01.2015;03:30;03:45;3158,25;0;0;
01.01.2015;03:45;04:00;3156,66;0;0;
01.01.2015;04:00;04:15;3155,79;0;0;
01.01.2015;04:15;04:30;3157,98;0;0;
01.01.2015;04:30;04:45;3160,55;0;0;
01.01.2015;04:45;05:00;3162,73;0;0;
01.01.2015;05:00;05:15;3164,4;0;0;
01.01.2015;05:15;05:30;3162,81;0;0;
01.01.2015;05:30;05:45;3161,38;0;0;
01.01.2015;05:45;06:00;3159,83;0;0;
01.01.2015;06:00;06:15;3167,26;0;0;
01.01.2015;06:15;06:30;3184,44;0;0;
01.01.2015;06:30;06:45;3201,93;0;0;
01.01.2015;06:45;07:00;3219,09;0;0;
01.01.2015;07:00;07:15;3241,52;0;0;
01.01.2015;07:15;07:30;3266,4;0;0;
01.01.2015;07:30;07:45;3291,47;0;0;
01.01.2015;07:45;08:00;3316,76;0;0;
01.01.2015;08:00;08:15;3340,59;0;0;
01.01.2015;08:15;08:30;3363,31;0;0;
01.01.2015;08:30;08:45;3386,39;0;0;
01.01.2015;08:45;09:00;3409,21;0;0;
01.01.2015;09:00;09:15;3433,41;0;0;
01.01.2015;09:15;09:30;3462,76;0;0;
01.01.2015;09:30;09:45;3492,5;0;0;
01.01.2015;09:45;10:00;3521,73;0;0;
01.01.2015;10:00;10:15;3546,58;0;0;
01.01.2015;10:15;10:30;3558,4;0;0;
01.01.2015;10:30;10:45;3570,88;0;0;
01.01.2015;10:45;11:00;3583,18;0;0;
01.01.2015;11:00;11:15;3598,75;0;0;
01.01.2015;11:15;11:30;3613,58;0;0;
01.01.2015;11:30;11:45;3628,73;0;0;
01.01.2015;11:45;12:00;3643,66;0;0;
01.01.2015;12:00;12:15;3655,61;0;0;
01.01.2015;12:15;12:30;3661,61;0;0;
01.01.2015;12:30;12:45;3667,79;0;0;
01.01.2015;12:45;13:00;3673,8;0;0;
01.01.2015;13:00;13:15;3679,77;0;0;
01.01.2015;13:15;13:30;3692,43;0;0;
01.01.2015;13:30;13:45;3704,75;0;0;
01.01.2015;13:45;14:00;3717,29;0;0;
01.01.2015;14:00;14:15;3735,64;0;0;
01.01.2015;14:15;14:30;3766,41;0;0;
01.01.2015;14:30;14:45;3797,56;0;0;
01.01.2015;14:45;15:00;3829,17;0;0;
01.01.2015;15:00;15:15;3872,96;0;0;
01.01.2015;15:15;15:30;3937,52;0;0;
01.01.2015;15:30;15:45;4002,62;0;0;
01.01.2015;15:45;16:00;4067,75;0;0;
01.01.2015;16:00;16:15;4126,26;0;0;
01.01.2015;16:15;16:30;4191,49;0;0;
01.01.2015;16:30;16:45;4256,44;0;0;
01.01.2015;16:45;17:00;4321,22;0;0;
01.01.2015;17:00;17:15;4391,7;0;0;
01.01.2015;17:15;17:30;4468,43;0;0;
01.01.2015;17:30;17:45;4545,12;0;0;
01.01.2015;17:45;18:00;4621,85;0;0;
01.01.2015;18:00;18:15;4695,99;0;0;
01.01.2015;18:15;18:30;4772,42;0;0;
01.01.2015;18:30;18:45;4848,41;0;0;
01.01.2015;18:45;19:00;4924,9;0;0;
01.01.2015;19:00;19:15;5004,86;0;0;
01.01.2015;19:15;19:30;5076,04;0;0;
01.01.2015;19:30;19:45;5147,45;0;0;
01.01.2015;19:45;20:00;5218,62;0;0;
01.01.2015;20:00;20:15;5310,71;0;0;
01.01.2015;20:15;20:30;5422,37;0;0;
01.01.2015;20:30;20:45;5534,13;0;0;
01.01.2015;20:45;21:00;5645,95;0;0;
01.01.2015;21:00;21:15;5750,47;0;0;
01.01.2015;21:15;21:30;5856,5;0;0;
01.01.2015;21:30;21:45;5962,75;0;0;
01.01.2015;21:45;22:00;6069,38;0;0;
01.01.2015;22:00;22:15;6190,94;0;0;
01.01.2015;22:15;22:30;6347,47;0;0;
01.01.2015;22:30;22:45;6504,64;0;0;
01.01.2015;22:45;23:00;6661,68;0;0;
01.01.2015;23:00;23:15;6818,43;0;0;
01.01.2015;23:15;23:30;6979,54;0;0;
01.01.2015;23:30;23:45;7140,77;0;0;
01.01.2015;23:45;00:00;7302,02;0;0;
02.01.2015;00:00;00:15;8398,12;0;0;
02.01.2015;00:15;00:30;8541,84;0;0;
02.01.2015;00:30;00:45;8685,68;0;0;
02.01.2015;00:45;01:00;8828,71;0;0;
02.01.2015;01:00;01:15;8976,01;0;0;
02.01.2015;01:15;01:30;9105,5;0;0;
02.01.2015;01:30;01:45;9235,4;0;0;
02.01.2015;01:45;02:00;9364,91;0;0;
02.01.2015;02:00;02:15;9486,11;0;0;
02.01.2015;02:15;02:30;9599,15;0;0;
02.01.2015;02:30;02:45;9711,93;0;0;
02.01.2015;02:45;03:00;9824,69;0;0;
02.01.2015;03:00;03:15;9928,58;0;0;
02.01.2015;03:15;03:30;10019,87;0;0;
02.01.2015;03:30;03:45;10110,62;0;0;
02.01.2015;03:45;04:00;10200,96;0;0;
02.01.2015;04:00;04:15;10285,78;0;0;
02.01.2015;04:15;04:30;10347,71;0;0;
02.01.2015;04:30;04:45;10409,74;0;0;
02.01.2015;04:45;05:00;10471,19;0;0;
02.01.2015;05:00;05:15;10527,06;0;0;
02.01.2015;05:15;05:30;10573,32;0;0;
02.01.2015;05:30;05:45;10619,65;0;0;
02.01.2015;05:45;06:00;10665,62;0;0;
02.01.2015;06:00;06:15;10712,59;0;0;
02.01.2015;06:15;06:30;10756,69;0;0;
02.01.2015;06:30;06:45;10800,95;0;0;
02.01.2015;06:45;07:00;10844,52;0;0;
02.01.2015;07:00;07:15;10876,74;0;0;
02.01.2015;07:15;07:30;10893,94;0;0;
02.01.2015;07:30;07:45;10910,12;0;0;
02.01.2015;07:45;08:00;10926,89;0;0;
02.01.2015;08:00;08:15;10946,81;0;0;
02.01.2015;08:15;08:30;10962,54;0;0;
02.01.2015;08:30;08:45;10978,27;0;0;
02.01.2015;08:45;09:00;10994,5;0;0;
02.01.2015;09:00;09:15;11008,66;0;0;
02.01.2015;09:15;09:30;11018,05;0;0;
02.01.2015;09:30;09:45;11027,44;0;0;
02.01.2015;09:45;10:00;11035,81;0;0;
02.01.2015;10:00;10:15;11039,6;0;0;
02.01.2015;10:15;10:30;11030,8;0;0;
02.01.2015;10:30;10:45;11023,23;0;0;
02.01.2015;10:45;11:00;11015,14;0;0;
02.01.2015;11:00;11:15;11007,59;0;0;
02.01.2015;11:15;11:30;10995,82;0;0;
02.01.2015;11:30;11:45;10984,23;0;0;
02.01.2015;11:45;12:00;10972,62;0;0;
02.01.2015;12:00;12:15;10958,97;0;0;
02.01.2015;12:15;12:30;10941,38;0;0;
02.01.2015;12:30;12:45;10923,37;0;0;
02.01.2015;12:45;13:00;10904,62;0;0;
02.01.2015;13:00;13:15;10886,02;0;0;
02.01.2015;13:15;13:30;10848,97;0;0;
02.01.2015;13:30;13:45;10811,19;0;0;
02.01.2015;13:45;14:00;10773,57;0;0;
02.01.2015;14:00;14:15;10728,63;0;0;
02.01.2015;14:15;14:30;10684,95;0;0;
02.01.2015;14:30;14:45;10641,4;0;0;
02.01.2015;14:45;15:00;10601,58;0;0;
02.01.2015;15:00;15:15;10559,03;0;0;
02.01.2015;15:15;15:30;10521,6;0;0;
02.01.2015;15:30;15:45;10485,41;0;0;
02.01.2015;15:45;16:00;10448,79;0;0;
02.01.2015;16:00;16:15;10427,29;0;0;
02.01.2015;16:15;16:30;10432,96;0;0;
02.01.2015;16:30;16:45;10438,15;0;0;
02.01.2015;16:45;17:00;10443,64;0;0;
02.01.2015;17:00;17:15;10454,82;0;0;
02.01.2015;17:15;17:30;10476,39;0;0;
02.01.2015;17:30;17:45;10497,34;0;0;
02.01.2015;17:45;18:00;10518,38;0;0;
02.01.2015;18:00;18:15;10540,66;0;0;
02.01.2015;18:15;18:30;10567,55;0;0;
02.01.2015;18:30;18:45;10594,8;0;0;
02.01.2015;18:45;19:00;10622,19;0;0;
02.01.2015;19:00;19:15;10646,32;0;0;
02.01.2015;19:15;19:30;10667,15;0;0;
02.01.2015;19:30;19:45;10687,46;0;0;
02.01.2015;19:45;20:00;10707,58;0;0;
02.01.2015;20:00;20:15;10727,31;0;0;
02.01.2015;20:15;20:30;10747,73;0;0;
02.01.2015;20:30;20:45;10768,36;0;0;
02.01.2015;20:45;21:00;10788,87;0;0;
02.01.2015;21:00;21:15;10798,54;0;0;
02.01.2015;21:15;21:30;10793,23;0;0;
02.01.2015;21:30;21:45;10787,33;0;0;
02.01.2015;21:45;22:00;10781,29;0;0;
02.01.2015;22:00;22:15;10779,21;0;0;
02.01.2015;22:15;22:30;10777,54;0;0;
02.01.2015;22:30;22:45;10775,29;0;0;
02.01.2015;22:45;23:00;10773,26;0;0;
02.01.2015;23:00;23:15;10775,62;0;0;
02.01.2015;23:15;23:30;10780,36;0;0;
02.01.2015;23:30;23:45;10784,71;0;0;
02.01.2015;23:45;00:00;10789,04;0;0;
03.01.2015;00:00;00:15;10794,43;0;0;
03.01.2015;00:15;00:30;10828,65;0;0;
03.01.2015;00:30;00:45;10862,65;0;0;
03.01.2015;00:45;01:00;10896,16;0;0;
03.01.2015;01:00;01:15;10922,69;0;0;
03.01.2015;01:15;01:30;10886,69;0;0;
03.01.2015;01:30;01:45;10850,4;0;0;
03.01.2015;01:45;02:00;10814,32;0;0;
03.01.2015;02:00;02:15;10772,64;0;0;
03.01.2015;02:15;02:30;10723,93;0;0;
03.01.2015;02:30;02:45;10674,97;0;0;
03.01.2015;02:45;03:00;10625,37;0;0;
03.01.2015;03:00;03:15;10559,85;0;0;
03.01.2015;03:15;03:30;10474,88;0;0;
03.01.2015;03:30;03:45;10389,22;0;0;
03.01.2015;03:45;04:00;10303,22;0;0;
03.01.2015;04:00;04:15;10216,92;0;0;
03.01.2015;04:15;04:30;10148,29;0;0;
03.01.2015;04:30;04:45;10079,8;0;0;
03.01.2015;04:45;05:00;10011,09;0;0;
03.01.2015;05:00;05:15;9956,63;0;0;
03.01.2015;05:15;05:30;9905,65;0;0;
03.01.2015;05:30;05:45;9854,8;0;0;
03.01.2015;05:45;06:00;9803,26;0;0;
03.01.2015;06:00;06:15;9757,53;0;0;
03.01.2015;06:15;06:30;9718,3;0;0;
03.01.2015;06:30;06:45;9679,84;0;0;
03.01.2015;06:45;07:00;9640,33;0;0;
03.01.2015;07:00;07:15;9616,74;0;0;
03.01.2015;07:15;07:30;9629,63;0;0;
03.01.2015;07:30;07:45;9641,9;0;0;
03.01.2015;07:45;08:00;9654,46;0;0;
03.01.2015;08:00;08:15;9669,3;0;0;
03.01.2015;08:15;08:30;9695,93;0;0;
03.01.2015;08:30;08:45;9722,72;0;0;
03.01.2015;08:45;09:00;9749,75;0;0;
03.01.2015;09:00;09:15;9773,76;0;0;
03.01.2015;09:15;09:30;9793,09;0;0;
03.01.2015;09:30;09:45;9812,22;0;0;
03.01.2015;09:45;10:00;9830,25;0;0;
03.01.2015;10:00;10:15;9845,71;0;0;
03.01.2015;10:15;10:30;9835,75;0;0;
03.01.2015;10:30;10:45;9826,87;0;0;
03.01.2015;10:45;11:00;9817,92;0;0;
03.01.2015;11:00;11:15;9794,74;0;0;
03.01.2015;11:15;11:30;9761,52;0;0;
03.01.2015;11:30;11:45;9728,9;0;0;
03.01.2015;11:45;12:00;9695,88;0;0;
03.01.2015;12:00;12:15;9645,01;0;0;
03.01.2015;12:15;12:30;9564,39;0;0;
03.01.2015;12:30;12:45;9483,51;0;0;
03.01.2015;12:45;13:00;9402,06;0;0;
03.01.2015;13:00;13:15;9292,11;0;0;
03.01.2015;13:15;13:30;9095,34;0;0;
03.01.2015;13:30;13:45;8898,56;0;0;
03.01.2015;13:45;14:00;8701,74;0;0;
03.01.2015;14:00;14:15;8455,35;0;0;
03.01.2015;14:15;14:30;8133,7;0;0;
03.01.2015;14:30;14:45;7812,57;0;0;
03.01.2015;14:45;15:00;7492,54;0;0;
03.01.2015;15:00;15:15;7194,09;0;0;
03.01.2015;15:15;15:30;6919,84;0;0;
03.01.2015;15:30;15:45;6645,6;0;0;
03.01.2015;15:45;16:00;6371,87;0;0;
03.01.2015;16:00;16:15;6127,41;0;0;
03.01.2015;16:15;16:30;5930,86;0;0;
03.01.2015;16:30;16:45;5734,26;0;0;
03.01.2015;16:45;17:00;5537,63;0;0;
