"Datum;""Von"";""bis"";""MW"";""Onshore MW"";""Offshore MW"";",,,
01.01.2021;00:00;00:15;2213,87;1917,91;295,97;
01.01.2021;00:15;00:30;2127,46;1843,07;284,39;
01.01.2021;00:30;00:45;2040,42;1767,48;272,94;
01.01.2021;00:45;01:00;1951,35;1689,71;261,64;
01.01.2021;01:00;01:15;1866,33;1615,92;250,41;
01.01.2021;01:15;01:30;1790,24;1552,02;238,22;
01.01.2021;01:30;01:45;1720,79;1494,72;226,07;
01.01.2021;01:45;02:00;1656,59;1442,48;214,1;
01.01.2021;02:00;02:15;1593,87;1391,98;201,89;
01.01.2021;02:15;02:30;1536,96;1342,27;194,7;
01.01.2021;02:30;02:45;1486,2;1298,68;187,51;
01.01.2021;02:45;03:00;1439,34;1258,06;181,28;
01.01.2021;03:00;03:15;1394,23;1218,83;175,4;
01.01.2021;03:15;03:30;1363,43;1188,3;175,13;
01.01.2021;03:30;03:45;1331,45;1156,54;174,91;
01.01.2021;03:45;04:00;1300,57;1127,07;173,5;
01.01.2021;04:00;04:15;1269,65;1097,99;171,66;
01.01.2021;04:15;04:30;1239,27;1073,06;166,22;
01.01.2021;04:30;04:45;1212,04;1051,08;160,96;
01.01.2021;04:45;05:00;1184,12;1026,88;157,24;
01.01.2021;05:00;05:15;1157,66;1003,72;153,94;
01.01.2021;05:15;05:30;1145,66;988,84;156,82;
01.01.2021;05:30;05:45;1137,57;977,54;160,03;
01.01.2021;05:45;06:00;1129,77;967,51;162,26;
01.01.2021;06:00;06:15;1123,62;958,74;164,88;
01.01.2021;06:15;06:30;1120,88;956,04;164,85;
01.01.2021;06:30;06:45;1120,65;955,84;164,81;
01.01.2021;06:45;07:00;1117,42;953,12;164,3;
01.01.2021;07:00;07:15;1111,69;948,19;163,5;
01.01.2021;07:15;07:30;1099,22;939,67;159,55;
01.01.2021;07:30;07:45;1087,15;931,51;155,64;
01.01.2021;07:45;08:00;1075,76;925;150,76;,
01.01.2021;08:00;08:15;1064,5;918,23;146,26;
01.01.2021;08:15;08:30;1054,39;914,52;139,87;
01.01.2021;08:30;08:45;1043,68;910,04;133,64;
01.01.2021;08:45;09:00;1034,54;906,35;128,18;
01.01.2021;09:00;09:15;1025,94;903,28;122,66;
01.01.2021;09:15;09:30;1002,55;882,34;120,21;
01.01.2021;09:30;09:45;978,54;860,65;117,89;
01.01.2021;09:45;10:00;952,38;836,36;116,02;
01.01.2021;10:00;10:15;926,31;812,21;114,1;
01.01.2021;10:15;10:30;879,78;768,18;111,6;
01.01.2021;10:30;10:45;835,2;726,16;109,05;
01.01.2021;10:45;11:00;793,61;687,55;106,06;
01.01.2021;11:00;11:15;753,32;650,24;103,09;
01.01.2021;11:15;11:30;724,48;624,7;99,78;
01.01.2021;11:30;11:45;704,07;607,51;96,56;
01.01.2021;11:45;12:00;686,57;592,68;93,89;
01.01.2021;12:00;12:15;674,03;582,81;91,22;
01.01.2021;12:15;12:30;662,1;573,79;88,31;
01.01.2021;12:30;12:45;659,23;573,76;85,47;
01.01.2021;12:45;13:00;669,09;586,52;82,57;
01.01.2021;13:00;13:15;677,83;597,95;79,88;
01.01.2021;13:15;13:30;680,38;603,57;76,81;
01.01.2021;13:30;13:45;678,46;604,66;73,8;
01.01.2021;13:45;14:00;674,36;603,35;71,01;
01.01.2021;14:00;14:15;670,45;602,08;68,38;
01.01.2021;14:15;14:30;670,3;604,04;66,26;
01.01.2021;14:30;14:45;669,11;604,84;64,26;
01.01.2021;14:45;15:00;668,82;606,22;62,59;
01.01.2021;15:00;15:15;664,88;604;60,88;,
01.01.2021;15:15;15:30;691,61;631,02;60,59;
01.01.2021;15:30;15:45;721,02;660,71;60,31;
01.01.2021;15:45;16:00;747,54;687,62;59,93;
01.01.2021;16:00;16:15;773,64;714,33;59,31;
