"Datum;""Von"";""bis"";""MW"";""Onshore MW"";""Offshore MW"";",,,
01.01.2022;00:00;00:15;11043,76;10298,76;745;,
01.01.2022;00:15;00:30;11056,56;10302,11;754,45;
01.01.2022;00:30;00:45;11074,32;10310,58;763,74;
01.01.2022;00:45;01:00;11085,11;10314,34;770,77;
01.01.2022;01:00;01:15;11088,53;10310,96;777,57;
01.01.2022;01:15;01:30;11093,41;10311,88;781,52;
01.01.2022;01:30;01:45;11100,63;10315,34;785,29;
01.01.2022;01:45;02:00;11110,66;10321,72;788,94;
01.01.2022;02:00;02:15;11104,21;10312,09;792,12;
01.01.2022;02:15;02:30;11084,37;10290,08;794,29;
01.01.2022;02:30;02:45;11057,82;10261,98;795,84;
01.01.2022;02:45;03:00;11023,16;10226,84;796,33;
01.01.2022;03:00;03:15;10988,22;10191,8;796,42;
01.01.2022;03:15;03:30;10945,43;10153,03;792,4;
01.01.2022;03:30;03:45;10902,07;10113,62;788,45;
01.01.2022;03:45;04:00;10852,29;10067,81;784,48;
01.01.2022;04:00;04:15;10804,11;10024,28;779,83;
01.01.2022;04:15;04:30;10726,32;9959,85;766,47;
01.01.2022;04:30;04:45;10648,07;9895,73;752,34;
01.01.2022;04:45;05:00;10568,58;9830,33;738,25;
01.01.2022;05:00;05:15;10486,23;9762,52;723,72;
01.01.2022;05:15;05:30;10378,58;9671,04;707,54;
01.01.2022;05:30;05:45;10267,31;9576,48;690,83;
01.01.2022;05:45;06:00;10158,16;9484,13;674,03;
01.01.2022;06:00;06:15;10158;9501,24;656,76;,
01.01.2022;06:15;06:30;10033,52;9390,45;643,07;
01.01.2022;06:30;06:45;9904,62;9275,7;628,91;
01.01.2022;06:45;07:00;9768,59;9154,21;614,38;
01.01.2022;07:00;07:15;9631,06;9032,05;599,01;
01.01.2022;07:15;07:30;9491,3;8912,13;579,17;
01.01.2022;07:30;07:45;9352,11;8793,18;558,93;
01.01.2022;07:45;08:00;9214,13;8675,76;538,37;
01.01.2022;08:00;08:15;9074,91;8557,31;517,6;
01.01.2022;08:15;08:30;8904,43;8411,88;492,55;
01.01.2022;08:30;08:45;8733,91;8266,24;467,67;
01.01.2022;08:45;09:00;8561,19;8117,99;443,2;
01.01.2022;09:00;09:15;8386,92;7967,96;418,96;
01.01.2022;09:15;09:30;8208,5;7814,29;394,21;
01.01.2022;09:30;09:45;8025,65;7656,44;369,21;
01.01.2022;09:45;10:00;7844,06;7498,36;345,71;
01.01.2022;10:00;10:15;7659,1;7337,69;321,41;
01.01.2022;10:15;10:30;7427,17;7130,1;297,07;
01.01.2022;10:30;10:45;7192,14;6918,6;273,54;
01.01.2022;10:45;11:00;6959,15;6708,1;251,04;
01.01.2022;11:00;11:15;6726,77;6496,02;230,75;
01.01.2022;11:15;11:30;6498,6;6285,05;213,54;
01.01.2022;11:30;11:45;6272,66;6074,91;197,74;
01.01.2022;11:45;12:00;6053,6;5870,84;182,75;
01.01.2022;12:00;12:15;5838,55;5669,97;168,58;
01.01.2022;12:15;12:30;5560,83;5406,38;154,44;
01.01.2022;12:30;12:45;5288,3;5146,85;141,46;
01.01.2022;12:45;13:00;5025,19;4895,69;129,5;
01.01.2022;13:00;13:15;4772,25;4653,96;118,28;
01.01.2022;13:15;13:30;4454,46;4347,83;106,63;
01.01.2022;13:30;13:45;4143,84;4047,13;96,71;
01.01.2022;13:45;14:00;3838,56;3750,64;87,92;
01.01.2022;14:00;14:15;3539,18;3459,61;79,57;
01.01.2022;14:15;14:30;3259,52;3185,94;73,57;
01.01.2022;14:30;14:45;2983,22;2914,82;68,4;
01.01.2022;14:45;15:00;2707,65;2642,47;65,17;
