"Datum;""Von"";""bis"";""MW"";""Onshore MW"";""Offshore MW"";",
01.01.2011;00:00;00:15;4209,13;0;0;
01.01.2011;00:15;00:30;4313,16;0;0;
01.01.2011;00:30;00:45;4417,52;0;0;
01.01.2011;00:45;01:00;4522,08;0;0;
01.01.2011;01:00;01:15;4622,93;0;0;
01.01.2011;01:15;01:30;4710,76;0;0;
01.01.2011;01:30;01:45;4799,11;0;0;
01.01.2011;01:45;02:00;4887,47;0;0;
01.01.2011;02:00;02:15;4963,05;0;0;
01.01.2011;02:15;02:30;5031,81;0;0;
01.01.2011;02:30;02:45;5100,78;0;0;
01.01.2011;02:45;03:00;5169,53;0;0;
01.01.2011;03:00;03:15;5233,36;0;0;
01.01.2011;03:15;03:30;5292,56;0;0;
01.01.2011;03:30;03:45;5351,45;0;0;
01.01.2011;03:45;04:00;5410,86;0;0;
01.01.2011;04:00;04:15;5471,29;0;0;
01.01.2011;04:15;04:30;5517,11;0;0;
01.01.2011;04:30;04:45;5562,94;0;0;
01.01.2011;04:45;05:00;5609,61;0;0;
01.01.2011;05:00;05:15;5644,5;0;0;
01.01.2011;05:15;05:30;5675,08;0;0;
01.01.2011;05:30;05:45;5705,67;0;0;
01.01.2011;05:45;06:00;5735,93;0;0;
01.01.2011;06:00;06:15;5769,95;0;0;
01.01.2011;06:15;06:30;5800,61;0;0;
01.01.2011;06:30;06:45;5831,58;0;0;
01.01.2011;06:45;07:00;5862,24;0;0;
01.01.2011;07:00;07:15;5886,97;0;0;
01.01.2011;07:15;07:30;5892,59;0;0;
01.01.2011;07:30;07:45;5899,04;0;0;
01.01.2011;07:45;08:00;5905,19;0;0;
01.01.2011;08:00;08:15;5910,51;0;0;
01.01.2011;08:15;08:30;5910,59;0;0;
01.01.2011;08:30;08:45;5910,98;0;0;
01.01.2011;08:45;09:00;5911,37;0;0;
01.01.2011;09:00;09:15;5908,41;0;0;
01.01.2011;09:15;09:30;5897,79;0;0;
01.01.2011;09:30;09:45;5887,17;0;0;
01.01.2011;09:45;10:00;5876,55;0;0;
01.01.2011;10:00;10:15;5862,87;0;0;
01.01.2011;10:15;10:30;5829,44;0;0;
01.01.2011;10:30;10:45;5795,81;0;0;
01.01.2011;10:45;11:00;5762,17;0;0;
01.01.2011;11:00;11:15;5728,6;0;0;
01.01.2011;11:15;11:30;5686,3;0;0;
01.01.2011;11:30;11:45;5644,01;0;0;
01.01.2011;11:45;12:00;5601,71;0;0;
01.01.2011;12:00;12:15;5559,62;0;0;
01.01.2011;12:15;12:30;5518,59;0;0;
01.01.2011;12:30;12:45;5477,86;0;0;
01.01.2011;12:45;13:00;5436,82;0;0;
01.01.2011;13:00;13:15;5396,51;0;0;
01.01.2011;13:15;13:30;5344,87;0;0;
01.01.2011;13:30;13:45;5293,74;0;0;
01.01.2011;13:45;14:00;5242,1;0;0;
01.01.2011;14:00;14:15;5189,94;0;0;
01.01.2011;14:15;14:30;5135,27;0;0;
01.01.2011;14:30;14:45;5081,12;0;0;
01.01.2011;14:45;15:00;5026,13;0;0;
01.01.2011;15:00;15:15;4959,08;0;0;
